index	character	character in latex	character/story	character/story in latex	card url
903	Julie Taylor	Julie Taylor	Julie Taylor/Friday Night Lights	Julie Taylor/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Julie-Taylor-1600-364-241.pdf
904	Johnny Rose	Johnny Rose	Johnny Rose/Schitt's Creek	Johnny Rose/Schitt's Creek	https://compstorylab.org/archetypometrics/cards/Schitts-Creek-Johnny-Rose-1600-364-241.pdf
905	Moira Rose	Moira Rose	Moira Rose/Schitt's Creek	Moira Rose/Schitt's Creek	https://compstorylab.org/archetypometrics/cards/Schitts-Creek-Moira-Rose-1600-364-241.pdf
906	David Rose	David Rose	David Rose/Schitt's Creek	David Rose/Schitt's Creek	https://compstorylab.org/archetypometrics/cards/Schitts-Creek-David-Rose-1600-364-241.pdf
907	Alexis Rose	Alexis Rose	Alexis Rose/Schitt's Creek	Alexis Rose/Schitt's Creek	https://compstorylab.org/archetypometrics/cards/Schitts-Creek-Alexis-Rose-1600-364-241.pdf
908	Stevie Budd	Stevie Budd	Stevie Budd/Schitt's Creek	Stevie Budd/Schitt's Creek	https://compstorylab.org/archetypometrics/cards/Schitts-Creek-Stevie-Budd-1600-364-241.pdf
909	Ted Mullens	Ted Mullens	Ted Mullens/Schitt's Creek	Ted Mullens/Schitt's Creek	https://compstorylab.org/archetypometrics/cards/Schitts-Creek-Ted-Mullens-1600-364-241.pdf
910	Jo March	Jo March	Jo March/Little Women	Jo March/Little Women	https://compstorylab.org/archetypometrics/cards/Little-Women-Jo-March-1600-364-241.pdf
911	Meg March	Meg March	Meg March/Little Women	Meg March/Little Women	https://compstorylab.org/archetypometrics/cards/Little-Women-Meg-March-1600-364-241.pdf
912	Amy March	Amy March	Amy March/Little Women	Amy March/Little Women	https://compstorylab.org/archetypometrics/cards/Little-Women-Amy-March-1600-364-241.pdf
913	Beth March	Beth March	Beth March/Little Women	Beth March/Little Women	https://compstorylab.org/archetypometrics/cards/Little-Women-Beth-March-1600-364-241.pdf
914	Marmee March	Marmee March	Marmee March/Little Women	Marmee March/Little Women	https://compstorylab.org/archetypometrics/cards/Little-Women-Marmee-March-1600-364-241.pdf
915	Theodore Laurence	Theodore Laurence	Theodore Laurence/Little Women	Theodore Laurence/Little Women	https://compstorylab.org/archetypometrics/cards/Little-Women-Theodore-Laurence-1600-364-241.pdf
916	Archie Andrews	Archie Andrews	Archie Andrews/Riverdale	Archie Andrews/Riverdale	https://compstorylab.org/archetypometrics/cards/Riverdale-Archie-Andrews-1600-364-241.pdf
917	Betty Cooper	Betty Cooper	Betty Cooper/Riverdale	Betty Cooper/Riverdale	https://compstorylab.org/archetypometrics/cards/Riverdale-Betty-Cooper-1600-364-241.pdf
918	Veronica Lodge	Veronica Lodge	Veronica Lodge/Riverdale	Veronica Lodge/Riverdale	https://compstorylab.org/archetypometrics/cards/Riverdale-Veronica-Lodge-1600-364-241.pdf
919	Jughead Jones	Jughead Jones	Jughead Jones/Riverdale	Jughead Jones/Riverdale	https://compstorylab.org/archetypometrics/cards/Riverdale-Jughead-Jones-1600-364-241.pdf
920	Kevin Keller	Kevin Keller	Kevin Keller/Riverdale	Kevin Keller/Riverdale	https://compstorylab.org/archetypometrics/cards/Riverdale-Kevin-Keller-1600-364-241.pdf
921	Cheryl Blossom	Cheryl Blossom	Cheryl Blossom/Riverdale	Cheryl Blossom/Riverdale	https://compstorylab.org/archetypometrics/cards/Riverdale-Cheryl-Blossom-1600-364-241.pdf
922	Remy	Remy	Remy/Ratatouille	Remy/Ratatouille	https://compstorylab.org/archetypometrics/cards/Ratatouille-Remy-1600-364-241.pdf
923	Alfredo Linguini	Alfredo Linguini	Alfredo Linguini/Ratatouille	Alfredo Linguini/Ratatouille	https://compstorylab.org/archetypometrics/cards/Ratatouille-Alfredo-Linguini-1600-364-241.pdf
924	Chef Skinner	Chef Skinner	Chef Skinner/Ratatouille	Chef Skinner/Ratatouille	https://compstorylab.org/archetypometrics/cards/Ratatouille-Chef-Skinner-1600-364-241.pdf
925	Olivia Pope	Olivia Pope	Olivia Pope/Scandal	Olivia Pope/Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-Olivia-Pope-1600-364-241.pdf
926	Abby Whelan	Abby Whelan	Abby Whelan/Scandal	Abby Whelan/Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-Abby-Whelan-1600-364-241.pdf
927	Quinn Perkins	Quinn Perkins	Quinn Perkins/Scandal	Quinn Perkins/Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-Quinn-Perkins-1600-364-241.pdf
928	Huck	Huck	Huck/Scandal	Huck/Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-Huck-1600-364-241.pdf
929	Cyrus Beene	Cyrus Beene	Cyrus Beene/Scandal	Cyrus Beene/Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-Cyrus-Beene-1600-364-241.pdf
930	David Rosen	David Rosen	David Rosen/Scandal	David Rosen/Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-David-Rosen-1600-364-241.pdf
931	Mellie Grant	Mellie Grant	Mellie Grant/Scandal	Mellie Grant/Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-Mellie-Grant-1600-364-241.pdf
932	Fitzgerald Grant	Fitzgerald Grant	Fitzgerald Grant/Scandal	Fitzgerald Grant/Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-Fitzgerald-Grant-1600-364-241.pdf
933	Jake Ballard	Jake Ballard	Jake Ballard/Scandal	Jake Ballard/Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-Jake-Ballard-1600-364-241.pdf
934	Rowan Pope	Rowan Pope	Rowan Pope/Scandal	Rowan Pope/Scandal	https://compstorylab.org/archetypometrics/cards/Scandal-Rowan-Pope-1600-364-241.pdf
935	Billy Costigan	Billy Costigan	Billy Costigan/The Departed	Billy Costigan/The Departed	https://compstorylab.org/archetypometrics/cards/The-Departed-Billy-Costigan-1600-364-241.pdf
936	Colin Sullivan	Colin Sullivan	Colin Sullivan/The Departed	Colin Sullivan/The Departed	https://compstorylab.org/archetypometrics/cards/The-Departed-Colin-Sullivan-1600-364-241.pdf
937	Frank Costello	Frank Costello	Frank Costello/The Departed	Frank Costello/The Departed	https://compstorylab.org/archetypometrics/cards/The-Departed-Frank-Costello-1600-364-241.pdf
938	Sgt. Sean Dignam	Sgt. Sean Dignam	Sgt. Sean Dignam/The Departed	Sgt. Sean Dignam/The Departed	https://compstorylab.org/archetypometrics/cards/The-Departed-Sgt-Sean-Dignam-1600-364-241.pdf
939	Capt. Oliver Queenan	Capt. Oliver Queenan	Capt. Oliver Queenan/The Departed	Capt. Oliver Queenan/The Departed	https://compstorylab.org/archetypometrics/cards/The-Departed-Capt-Oliver-Queenan-1600-364-241.pdf
940	Dr. Madolyn Madden	Dr. Madolyn Madden	Dr. Madolyn Madden/The Departed	Dr. Madolyn Madden/The Departed	https://compstorylab.org/archetypometrics/cards/The-Departed-Dr-Madolyn-Madden-1600-364-241.pdf
941	Rick Sanchez	Rick Sanchez	Rick Sanchez/Rick and Morty	Rick Sanchez/Rick and Morty	https://compstorylab.org/archetypometrics/cards/Rick-and-Morty-Rick-Sanchez-1600-364-241.pdf
942	Morty Smith	Morty Smith	Morty Smith/Rick and Morty	Morty Smith/Rick and Morty	https://compstorylab.org/archetypometrics/cards/Rick-and-Morty-Morty-Smith-1600-364-241.pdf
943	Summer Smith	Summer Smith	Summer Smith/Rick and Morty	Summer Smith/Rick and Morty	https://compstorylab.org/archetypometrics/cards/Rick-and-Morty-Summer-Smith-1600-364-241.pdf
944	Robin Hood	Robin Hood	Robin Hood/Robin Hood	Robin Hood/Robin Hood	https://compstorylab.org/archetypometrics/cards/Robin-Hood-Robin-Hood-1600-364-241.pdf
945	Maid Marian	Maid Marian	Maid Marian/Robin Hood	Maid Marian/Robin Hood	https://compstorylab.org/archetypometrics/cards/Robin-Hood-Maid-Marian-1600-364-241.pdf
946	Little John	Little John	Little John/Robin Hood	Little John/Robin Hood	https://compstorylab.org/archetypometrics/cards/Robin-Hood-Little-John-1600-364-241.pdf
947	Friar Tuck	Friar Tuck	Friar Tuck/Robin Hood	Friar Tuck/Robin Hood	https://compstorylab.org/archetypometrics/cards/Robin-Hood-Friar-Tuck-1600-364-241.pdf
948	Prince John	Prince John	Prince John/Robin Hood	Prince John/Robin Hood	https://compstorylab.org/archetypometrics/cards/Robin-Hood-Prince-John-1600-364-241.pdf
949	Sheriff of Nottingham	Sheriff of Nottingham	Sheriff of Nottingham/Robin Hood	Sheriff of Nottingham/Robin Hood	https://compstorylab.org/archetypometrics/cards/Robin-Hood-Sheriff-of-Nottingham-1600-364-241.pdf
950	Romeo Montague	Romeo Montague	Romeo Montague/Romeo and Juliet	Romeo Montague/Romeo and Juliet	https://compstorylab.org/archetypometrics/cards/Romeo-and-Juliet-Romeo-Montague-1600-364-241.pdf
951	Juliet Capulet	Juliet Capulet	Juliet Capulet/Romeo and Juliet	Juliet Capulet/Romeo and Juliet	https://compstorylab.org/archetypometrics/cards/Romeo-and-Juliet-Juliet-Capulet-1600-364-241.pdf
952	Friar Laurence	Friar Laurence	Friar Laurence/Romeo and Juliet	Friar Laurence/Romeo and Juliet	https://compstorylab.org/archetypometrics/cards/Romeo-and-Juliet-Friar-Laurence-1600-364-241.pdf
953	Mercutio	Mercutio	Mercutio/Romeo and Juliet	Mercutio/Romeo and Juliet	https://compstorylab.org/archetypometrics/cards/Romeo-and-Juliet-Mercutio-1600-364-241.pdf
954	The Nurse	The Nurse	The Nurse/Romeo and Juliet	The Nurse/Romeo and Juliet	https://compstorylab.org/archetypometrics/cards/Romeo-and-Juliet-The-Nurse-1600-364-241.pdf
955	Benvolio	Benvolio	Benvolio/Romeo and Juliet	Benvolio/Romeo and Juliet	https://compstorylab.org/archetypometrics/cards/Romeo-and-Juliet-Benvolio-1600-364-241.pdf
956	Dexter Morgan	Dexter Morgan	Dexter Morgan/Dexter	Dexter Morgan/Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-Dexter-Morgan-1600-364-241.pdf
957	Rita Bennett	Rita Bennett	Rita Bennett/Dexter	Rita Bennett/Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-Rita-Bennett-1600-364-241.pdf
958	Debra Morgan	Debra Morgan	Debra Morgan/Dexter	Debra Morgan/Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-Debra-Morgan-1600-364-241.pdf
959	James Doakes	James Doakes	James Doakes/Dexter	James Doakes/Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-James-Doakes-1600-364-241.pdf
960	Maria LaGuerta	Maria LaGuerta	Maria LaGuerta/Dexter	Maria LaGuerta/Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-Maria-LaGuerta-1600-364-241.pdf
961	Angel Batista	Angel Batista	Angel Batista/Dexter	Angel Batista/Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-Angel-Batista-1600-364-241.pdf
962	Harry Morgan	Harry Morgan	Harry Morgan/Dexter	Harry Morgan/Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-Harry-Morgan-1600-364-241.pdf
963	Vince Masuka	Vince Masuka	Vince Masuka/Dexter	Vince Masuka/Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-Vince-Masuka-1600-364-241.pdf
964	Thomas Matthews	Thomas Matthews	Thomas Matthews/Dexter	Thomas Matthews/Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-Thomas-Matthews-1600-364-241.pdf
965	Joey Quinn	Joey Quinn	Joey Quinn/Dexter	Joey Quinn/Dexter	https://compstorylab.org/archetypometrics/cards/Dexter-Joey-Quinn-1600-364-241.pdf
966	Sayid Jarrah	Sayid Jarrah	Sayid Jarrah/LOST	Sayid Jarrah/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Sayid-Jarrah-1600-364-241.pdf
967	Claire Littleton	Claire Littleton	Claire Littleton/LOST	Claire Littleton/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Claire-Littleton-1600-364-241.pdf
968	Jack Shephard	Jack Shephard	Jack Shephard/LOST	Jack Shephard/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Jack-Shephard-1600-364-241.pdf
969	Hurley Reyes	Hurley Reyes	Hurley Reyes/LOST	Hurley Reyes/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Hurley-Reyes-1600-364-241.pdf
970	Shannon Rutherford	Shannon Rutherford	Shannon Rutherford/LOST	Shannon Rutherford/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Shannon-Rutherford-1600-364-241.pdf
971	Sawyer Ford	Sawyer Ford	Sawyer Ford/LOST	Sawyer Ford/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Sawyer-Ford-1600-364-241.pdf
972	Benjamin Linus	Benjamin Linus	Benjamin Linus/LOST	Benjamin Linus/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Benjamin-Linus-1600-364-241.pdf
973	Jin-Soo Kwon	Jin-Soo Kwon	Jin-Soo Kwon/LOST	Jin-Soo Kwon/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Jin-Soo-Kwon-1600-364-241.pdf
974	Michael Dawson	Michael Dawson	Michael Dawson/LOST	Michael Dawson/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Michael-Dawson-1600-364-241.pdf
975	Desmond Hume	Desmond Hume	Desmond Hume/LOST	Desmond Hume/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Desmond-Hume-1600-364-241.pdf
976	Sun-Hwa Kwon	Sun-Hwa Kwon	Sun-Hwa Kwon/LOST	Sun-Hwa Kwon/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Sun-Hwa-Kwon-1600-364-241.pdf
977	Kate Austen	Kate Austen	Kate Austen/LOST	Kate Austen/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Kate-Austen-1600-364-241.pdf
978	Charlie Pace	Charlie Pace	Charlie Pace/LOST	Charlie Pace/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Charlie-Pace-1600-364-241.pdf
979	John Locke	John Locke	John Locke/LOST	John Locke/LOST	https://compstorylab.org/archetypometrics/cards/LOST-John-Locke-1600-364-241.pdf
980	Juliet Burke	Juliet Burke	Juliet Burke/LOST	Juliet Burke/LOST	https://compstorylab.org/archetypometrics/cards/LOST-Juliet-Burke-1600-364-241.pdf
981	Bella Swan	Bella Swan	Bella Swan/Twilight	Bella Swan/Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-Bella-Swan-1600-364-241.pdf
982	Edward Cullen	Edward Cullen	Edward Cullen/Twilight	Edward Cullen/Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-Edward-Cullen-1600-364-241.pdf
983	Jacob Black	Jacob Black	Jacob Black/Twilight	Jacob Black/Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-Jacob-Black-1600-364-241.pdf
984	Charlie Swan	Charlie Swan	Charlie Swan/Twilight	Charlie Swan/Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-Charlie-Swan-1600-364-241.pdf
985	Carlisle Cullen	Carlisle Cullen	Carlisle Cullen/Twilight	Carlisle Cullen/Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-Carlisle-Cullen-1600-364-241.pdf
986	Esme Cullen	Esme Cullen	Esme Cullen/Twilight	Esme Cullen/Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-Esme-Cullen-1600-364-241.pdf
987	Alice Cullen	Alice Cullen	Alice Cullen/Twilight	Alice Cullen/Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-Alice-Cullen-1600-364-241.pdf
988	Emmett Cullen	Emmett Cullen	Emmett Cullen/Twilight	Emmett Cullen/Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-Emmett-Cullen-1600-364-241.pdf
989	Rosalie Hale	Rosalie Hale	Rosalie Hale/Twilight	Rosalie Hale/Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-Rosalie-Hale-1600-364-241.pdf
990	Jasper Hale	Jasper Hale	Jasper Hale/Twilight	Jasper Hale/Twilight	https://compstorylab.org/archetypometrics/cards/Twilight-Jasper-Hale-1600-364-241.pdf
991	Olivia Benson	Olivia Benson	Olivia Benson/Law & Order: SVU	Olivia Benson/Law \& Order: SVU	https://compstorylab.org/archetypometrics/cards/Law-and-Order-SVU-Olivia-Benson-1600-364-241.pdf
992	John Munch	John Munch	John Munch/Law & Order: SVU	John Munch/Law \& Order: SVU	https://compstorylab.org/archetypometrics/cards/Law-and-Order-SVU-John-Munch-1600-364-241.pdf
993	Donald Cragen	Donald Cragen	Donald Cragen/Law & Order: SVU	Donald Cragen/Law \& Order: SVU	https://compstorylab.org/archetypometrics/cards/Law-and-Order-SVU-Donald-Cragen-1600-364-241.pdf
994	Elliot Stabler	Elliot Stabler	Elliot Stabler/Law & Order: SVU	Elliot Stabler/Law \& Order: SVU	https://compstorylab.org/archetypometrics/cards/Law-and-Order-SVU-Elliot-Stabler-1600-364-241.pdf
995	Odafin Tutuola	Odafin Tutuola	Odafin Tutuola/Law & Order: SVU	Odafin Tutuola/Law \& Order: SVU	https://compstorylab.org/archetypometrics/cards/Law-and-Order-SVU-Odafin-Tutuola-1600-364-241.pdf
996	Melinda Warner	Melinda Warner	Melinda Warner/Law & Order: SVU	Melinda Warner/Law \& Order: SVU	https://compstorylab.org/archetypometrics/cards/Law-and-Order-SVU-Melinda-Warner-1600-364-241.pdf
997	Willy Wonka	Willy Wonka	Willy Wonka/Willy Wonka & the Chocolate Factory	Willy Wonka/Willy Wonka \& the Chocolate Factory	https://compstorylab.org/archetypometrics/cards/Willy-Wonka-and-the-Chocolate-Factory-Willy-Wonka-1600-364-241.pdf
998	Grandpa Joe	Grandpa Joe	Grandpa Joe/Willy Wonka & the Chocolate Factory	Grandpa Joe/Willy Wonka \& the Chocolate Factory	https://compstorylab.org/archetypometrics/cards/Willy-Wonka-and-the-Chocolate-Factory-Grandpa-Joe-1600-364-241.pdf
999	Charlie Bucket	Charlie Bucket	Charlie Bucket/Willy Wonka & the Chocolate Factory	Charlie Bucket/Willy Wonka \& the Chocolate Factory	https://compstorylab.org/archetypometrics/cards/Willy-Wonka-and-the-Chocolate-Factory-Charlie-Bucket-1600-364-241.pdf
1000	Buffy Summers	Buffy Summers	Buffy Summers/Buffy the Vampire Slayer	Buffy Summers/Buffy the Vampire Slayer	https://compstorylab.org/archetypometrics/cards/Buffy-the-Vampire-Slayer-Buffy-Summers-1600-364-241.pdf
1001	Xander Harris	Xander Harris	Xander Harris/Buffy the Vampire Slayer	Xander Harris/Buffy the Vampire Slayer	https://compstorylab.org/archetypometrics/cards/Buffy-the-Vampire-Slayer-Xander-Harris-1600-364-241.pdf
1002	Willow Rosenberg	Willow Rosenberg	Willow Rosenberg/Buffy the Vampire Slayer	Willow Rosenberg/Buffy the Vampire Slayer	https://compstorylab.org/archetypometrics/cards/Buffy-the-Vampire-Slayer-Willow-Rosenberg-1600-364-241.pdf
1003	Cordelia Chase	Cordelia Chase	Cordelia Chase/Buffy the Vampire Slayer	Cordelia Chase/Buffy the Vampire Slayer	https://compstorylab.org/archetypometrics/cards/Buffy-the-Vampire-Slayer-Cordelia-Chase-1600-364-241.pdf
1004	Rupert Giles	Rupert Giles	Rupert Giles/Buffy the Vampire Slayer	Rupert Giles/Buffy the Vampire Slayer	https://compstorylab.org/archetypometrics/cards/Buffy-the-Vampire-Slayer-Rupert-Giles-1600-364-241.pdf
1005	Angel	Angel	Angel/Buffy the Vampire Slayer	Angel/Buffy the Vampire Slayer	https://compstorylab.org/archetypometrics/cards/Buffy-the-Vampire-Slayer-Angel-1600-364-241.pdf
1006	Claire Randall	Claire Randall	Claire Randall/Outlander	Claire Randall/Outlander	https://compstorylab.org/archetypometrics/cards/Outlander-Claire-Randall-1600-364-241.pdf
1007	Jamie Fraser	Jamie Fraser	Jamie Fraser/Outlander	Jamie Fraser/Outlander	https://compstorylab.org/archetypometrics/cards/Outlander-Jamie-Fraser-1600-364-241.pdf
1008	Murtagh Fraser	Murtagh Fraser	Murtagh Fraser/Outlander	Murtagh Fraser/Outlander	https://compstorylab.org/archetypometrics/cards/Outlander-Murtagh-Fraser-1600-364-241.pdf
1009	Odysseus	Odysseus	Odysseus/The Odyssey	Odysseus/The Odyssey	https://compstorylab.org/archetypometrics/cards/The-Odyssey-Odysseus-1600-364-241.pdf
1010	Telemachus	Telemachus	Telemachus/The Odyssey	Telemachus/The Odyssey	https://compstorylab.org/archetypometrics/cards/The-Odyssey-Telemachus-1600-364-241.pdf
1011	Penelope	Penelope	Penelope/The Odyssey	Penelope/The Odyssey	https://compstorylab.org/archetypometrics/cards/The-Odyssey-Penelope-1600-364-241.pdf
1012	John B	John B	John B/Outer Banks	John B/Outer Banks	https://compstorylab.org/archetypometrics/cards/Outer-Banks-John-B-1600-364-241.pdf
1013	Sarah Cameron	Sarah Cameron	Sarah Cameron/Outer Banks	Sarah Cameron/Outer Banks	https://compstorylab.org/archetypometrics/cards/Outer-Banks-Sarah-Cameron-1600-364-241.pdf
1014	Kiara	Kiara	Kiara/Outer Banks	Kiara/Outer Banks	https://compstorylab.org/archetypometrics/cards/Outer-Banks-Kiara-1600-364-241.pdf
1015	Pope	Pope	Pope/Outer Banks	Pope/Outer Banks	https://compstorylab.org/archetypometrics/cards/Outer-Banks-Pope-1600-364-241.pdf
1016	JJ	JJ	JJ/Outer Banks	JJ/Outer Banks	https://compstorylab.org/archetypometrics/cards/Outer-Banks-JJ-1600-364-241.pdf
1017	Topper	Topper	Topper/Outer Banks	Topper/Outer Banks	https://compstorylab.org/archetypometrics/cards/Outer-Banks-Topper-1600-364-241.pdf
1018	Rebecca Bunch	Rebecca Bunch	Rebecca Bunch/Crazy Ex-Girlfriend	Rebecca Bunch/Crazy Ex-Girlfriend	https://compstorylab.org/archetypometrics/cards/Crazy-Ex-Girlfriend-Rebecca-Bunch-1600-364-241.pdf
1019	Paula Proctor	Paula Proctor	Paula Proctor/Crazy Ex-Girlfriend	Paula Proctor/Crazy Ex-Girlfriend	https://compstorylab.org/archetypometrics/cards/Crazy-Ex-Girlfriend-Paula-Proctor-1600-364-241.pdf
1020	Josh Chan	Josh Chan	Josh Chan/Crazy Ex-Girlfriend	Josh Chan/Crazy Ex-Girlfriend	https://compstorylab.org/archetypometrics/cards/Crazy-Ex-Girlfriend-Josh-Chan-1600-364-241.pdf
1021	Belle	Belle	Belle/Beauty and the Beast	Belle/Beauty and the Beast	https://compstorylab.org/archetypometrics/cards/Beauty-and-the-Beast-Belle-1600-364-241.pdf
1022	Gaston	Gaston	Gaston/Beauty and the Beast	Gaston/Beauty and the Beast	https://compstorylab.org/archetypometrics/cards/Beauty-and-the-Beast-Gaston-1600-364-241.pdf
1023	Maurice	Maurice	Maurice/Beauty and the Beast	Maurice/Beauty and the Beast	https://compstorylab.org/archetypometrics/cards/Beauty-and-the-Beast-Maurice-1600-364-241.pdf
1024	Cogsworth	Cogsworth	Cogsworth/Beauty and the Beast	Cogsworth/Beauty and the Beast	https://compstorylab.org/archetypometrics/cards/Beauty-and-the-Beast-Cogsworth-1600-364-241.pdf
1025	Lumiere	Lumiere	Lumiere/Beauty and the Beast	Lumiere/Beauty and the Beast	https://compstorylab.org/archetypometrics/cards/Beauty-and-the-Beast-Lumiere-1600-364-241.pdf
1026	Beast	Beast	Beast/Beauty and the Beast	Beast/Beauty and the Beast	https://compstorylab.org/archetypometrics/cards/Beauty-and-the-Beast-Beast-1600-364-241.pdf
1027	Ron Weasley	Ron Weasley	Ron Weasley/Harry Potter	Ron Weasley/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Ron-Weasley-1600-364-241.pdf
1028	Harry Potter	Harry Potter	Harry Potter/Harry Potter	Harry Potter/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Harry-Potter-1600-364-241.pdf
1029	Hermione Granger	Hermione Granger	Hermione Granger/Harry Potter	Hermione Granger/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Hermione-Granger-1600-364-241.pdf
1030	Rubeus Hagrid	Rubeus Hagrid	Rubeus Hagrid/Harry Potter	Rubeus Hagrid/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Rubeus-Hagrid-1600-364-241.pdf
1031	Albus Dumbledore	Albus Dumbledore	Albus Dumbledore/Harry Potter	Albus Dumbledore/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Albus-Dumbledore-1600-364-241.pdf
1032	Minerva McGonagall	Minerva McGonagall	Minerva McGonagall/Harry Potter	Minerva McGonagall/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Minerva-McGonagall-1600-364-241.pdf
1033	Severus Snape	Severus Snape	Severus Snape/Harry Potter	Severus Snape/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Severus-Snape-1600-364-241.pdf
1034	Ginny Weasley	Ginny Weasley	Ginny Weasley/Harry Potter	Ginny Weasley/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Ginny-Weasley-1600-364-241.pdf
1035	Luna Lovegood	Luna Lovegood	Luna Lovegood/Harry Potter	Luna Lovegood/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Luna-Lovegood-1600-364-241.pdf
1036	Draco Malfoy	Draco Malfoy	Draco Malfoy/Harry Potter	Draco Malfoy/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Draco-Malfoy-1600-364-241.pdf
1037	Molly Weasley	Molly Weasley	Molly Weasley/Harry Potter	Molly Weasley/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Molly-Weasley-1600-364-241.pdf
1038	Lord Voldemort	Lord Voldemort	Lord Voldemort/Harry Potter	Lord Voldemort/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Lord-Voldemort-1600-364-241.pdf
1039	Cho Chang	Cho Chang	Cho Chang/Harry Potter	Cho Chang/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Cho-Chang-1600-364-241.pdf
1040	Fleur Delacour	Fleur Delacour	Fleur Delacour/Harry Potter	Fleur Delacour/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Fleur-Delacour-1600-364-241.pdf
1041	Viktor Krum	Viktor Krum	Viktor Krum/Harry Potter	Viktor Krum/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Viktor-Krum-1600-364-241.pdf
1042	Filius Flitwick	Filius Flitwick	Filius Flitwick/Harry Potter	Filius Flitwick/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Filius-Flitwick-1600-364-241.pdf
1043	Horace Slughorn	Horace Slughorn	Horace Slughorn/Harry Potter	Horace Slughorn/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Horace-Slughorn-1600-364-241.pdf
1044	George Weasley	George Weasley	George Weasley/Harry Potter	George Weasley/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-George-Weasley-1600-364-241.pdf
1045	Alastor Moody	Alastor Moody	Alastor Moody/Harry Potter	Alastor Moody/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Alastor-Moody-1600-364-241.pdf
1046	Remus Lupin	Remus Lupin	Remus Lupin/Harry Potter	Remus Lupin/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Remus-Lupin-1600-364-241.pdf
1047	Arthur Weasley	Arthur Weasley	Arthur Weasley/Harry Potter	Arthur Weasley/Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-Arthur-Weasley-1600-364-241.pdf
